Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,15999.1796875,,,0,5,12000,5,11000,,,0,20,4500.009765625,20,6839.64013671875,,,0,,,0,19000,8,19000,18,20,7500,50,6839.64013671875,,,0,,,0,18000,,,0,,,0
ABH,,,73437.5,2,75000,261,4,47000,48,55000,,,0,4,42000,55,24309.869140625,,,0,,,0,40000,32,50000,33,4,40000,4,24309.869140625,,,0,,,0,55000,,,0,,,0
ACS,,,250000,4,250000,4,,,0,75144.5390625,,,0,,,0,75144.5390625,,,0,,,0,300000,,,0,,,0,75144.5390625,,,0,,,0,75144.5390625,,,0,,,0
ADE,,,58868.578125,8,55000,235,4,40000,29,54607.140625,2,54900,4,4,38000,4,21448.439453125,,,0,,,0,40000,4,48000,106,4,40000,4,21448.439453125,,,0,,,0,66666,,,0,,,0
ADR,48000,,48001,4,50000,6,4,48001,104,50000,,,0,5,48001,105,29454.05078125,,,0,,,0,48000,,,0,100,48000,100,29454.05078125,,,0,,,0,50000,,,0,100,48000,100
ADS,,,106666.671875,,,0,,,0,127500,,,0,1,200000,1,55441.69921875,,,0,,,0,150000,,,0,,,0,55441.69921875,,,0,,,0,102500,,,0,,,0
AEF,,,3200,,,0,9,2100,349,2500,10,3480,19,30,2400,197,1800,,,0,,,0,3341.669921875,176,3400,904,2,2900,66,2124.820068359375,30,2600,30,,,0,3376.469970703125,152,3450,152,2,2700,42
AEN,,,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0
AFP,,,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0
AFR,,,7837.64013671875,,,0,,,0,5000,,,0,,,0,7837.64013671875,,,0,,,0,20000,11,20000,11,,,0,7837.64013671875,,,0,,,0,7837.64013671875,5,19594,5,,,0
AGS,,,221720.1875,,,0,1,250000,1,221720.1875,,,0,1,250000,1,221720.1875,,,0,,,0,280000,,,0,1,260000,2,221720.1875,,,0,,,0,221720.1875,,,0,,,0
AHP,,,5000,6,5000,6,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0,5566.330078125,2,8000,108,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0
AIR,185000,,91614.84375,,,0,100,185000,100,91614.84375,,,0,100,185000,100,91614.84375,,,0,,,0,185000.015625,,,0,12,185000.015625,112,91614.84375,,,0,,,0,185000,,,0,100,185000,100
AL,,,450,43,450,3634,20,422,3505,553.0999755859375,40,790,151,17,554,851,275,,,0,231,27.5,231,567,100,566,3802,100,520.010009765625,2400,400,75,400,208,,,0,526.989990234375,125,526,2001,56,492,543
ALE,,,1524.8900146484375,79,1545,759,20,1100,1810,1700,,,0,400,1700,585,750,,,0,,,0,1650,100,1650,452,10,1200,1172,1250,100,900,240,,,0,999.989990234375,184,999.989990234375,474,265,750.010009765625,1214
ALG,80,,120,,,0,71,120,775,120,,,0,10,120,1094,85,,,0,1000,90,1000,175,18,175,997,10,130,3169,133.72999572753906,,,0,,,0,101.05000305175781,8,180,310,988,101.05000305175781,2587
ALO,42,,58,636,85,3545,13,58,6409,118.38999938964844,91,119,4224,2,100.51000213623047,1483,50,,,0,,,0,125,238,199,10706,370,126.0199966430664,3434,70,,,0,,,0,100,5,100,4281,1000,91.5,2795
AMM,61,,150,248,260,862,44,150,1011,199,8,199,6509,2,111,11254,150,100,150,100,,,0,150,450,150,6478,194,145,3092,130,20,120,89,,,0,142.6300048828125,115,170,10661,110,142,1373
ANZ,,,70833.640625,,,0,,,0,70833.640625,,,0,,,0,70833.640625,,,0,,,0,70833.640625,,,0,,,0,70833.640625,,,0,,,0,70833.640625,,,0,,,0
APT,,,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0
AR,,,132.49000549316406,849,200,1891,20,120,1300,112,241,112,4298,100,84,301,285.7099914550781,,,0,,,0,148,27,130,4155,406,100,876,300,600,270,650,,,0,188,190,288,756,40,188,180
ARP,,,5869.1201171875,,,0,,,0,5869.1201171875,,,0,,,0,5869.1201171875,,,0,,,0,5869.1201171875,,,0,,,0,5869.1201171875,,,0,,,0,5869.1201171875,,,0,,,0
ASE,,,73750,6,75000,149,6,46000,24,54936.671875,1,55000,1,3,41000,33,19715.48046875,,,0,,,0,40000,42,50000,44,3,38000,17,19715.48046875,,,0,,,0,52000,1,52000,1,1,38500,8
AST,,,1776.7900390625,2,1780,103,100,1250,200,2100,,,0,,,0,1629.8599853515625,,,0,,,0,2500,39,2500,167,1,1500,11,1629.8599853515625,,,0,,,0,1629.8599853515625,20,2200,56,,,0
ATA,,,28700,9,38900,96,4,30000,33,40000,,,0,4,26000,26,15057.51953125,,,0,,,0,21001,1,40000,74,4,21000,12,15057.51953125,,,0,,,0,50000,,,0,1,25000,1
ATP,,,12416.009765625,,,0,,,0,12416.009765625,,,0,,,0,12416.009765625,,,0,,,0,12416.009765625,,,0,,,0,12416.009765625,,,0,,,0,12416.009765625,,,0,,,0
AU,,,1200,60,2200,181,45,1200,81,1222.219970703125,2,1444,2,10,1222.219970703125,10,627.3300170898438,,,0,,,0,999.219970703125,25,2349,95,,,0,627.3300170898438,,,0,,,0,2556.550048828125,5,1611.6099853515625,31,,,0
AUO,137,,200,28,200,354,100,169,975,236.08999633789062,138,310,162,59,185,679,108.2699966430664,,,0,,,0,170.25999450683594,32,425.6400146484375,756,100,145,350,108.2699966430664,,,0,,,0,250,,,0,85,170.02000427246094,505
AWF,,,3000,,,0,,,0,6000,,,0,,,0,2969.239990234375,,,0,,,0,2000,,,0,2,2000,2,2969.239990234375,,,0,,,0,2969.239990234375,14,6200,14,,,0
AWH,,,10563.259765625,,,0,,,0,10563.259765625,,,0,,,0,10563.259765625,,,0,,,0,10563.259765625,,,0,,,0,10563.259765625,,,0,,,0,10563.259765625,,,0,,,0
BAC,,,1000,,,0,,,0,3000,10,2999.989990234375,12,20,900,46,1288.9000244140625,,,0,,,0,1998,10,1997,420,50,1005.0999755859375,70,1288.9000244140625,,,0,,,0,800,10,2000,10,80,800,80
BAI,,,6845.89990234375,,,0,,,0,13000,8,13000,8,,,0,6845.89990234375,,,0,,,0,10000,15,10000,41,,,0,6845.89990234375,,,0,,,0,6845.89990234375,,,0,,,0
BBH,750,2400,1864,4,1864,815,18,1771.949951171875,404,1980,25,1980,304,5,1610.0400390625,402,1700,4,1700,4,2,1500,6,1972,25,1972,632,32,1751.02001953125,2806,1186.8399658203125,92,2400,172,,,0,2200,9,2200,321,32,1500,374
BCO,,,343.2699890136719,30,325,3149,200,300,1200,394.9800109863281,80,1119.260009765625,1610,370,380,10370,304.3599853515625,,,0,,,0,427.3299865722656,80,435,130,400,212,440,304.3599853515625,,,0,,,0,474.989990234375,,,0,,,0
BDE,850,2350,1617.8599853515625,9,1650,617,24,1510,636,1549,27,1549,1088,20,1310,628,1550,22,1550,22,,,0,1571,78,1571,618,30,1451,902,2350,63,2350,183,,,0,1203.030029296875,9,1599.989990234375,1156,1,1203.030029296875,483
BE,,,3000,1,3000,159,100,2500,233,2300,114,2950,114,,,0,1194,,,0,,,0,2700,364,3750,1364,200,2800,200,1194,,,0,,,0,2749.989990234375,85,2749.989990234375,270,,,0
BEA,,,121,453,148,802,128,121,1852,100,272,130,272,245,100,2100,84,,,0,,,0,120.19999694824219,790,128,1587,43,120.23999786376953,2448,100,,,0,24,90,24,104.0199966430664,36,115,1460,200,104.0999984741211,2612
BER,,,684,238,684,238,200,501,710,500,,,0,100,325,244,20,,,0,,,0,388.989990234375,487,388.989990234375,3669,60,330,320,117.55000305175781,,,0,,,0,400,410,400,966,100,280,310
BFP,,,20238.900390625,,,0,,,0,20238.900390625,,,0,,,0,20238.900390625,,,0,,,0,20238.900390625,,,0,,,0,20238.900390625,,,0,,,0,20238.900390625,,,0,,,0
BFR,,,1500,2,1750,2,26,1500,26,2000,160,2000,160,,,0,2539.510009765625,,,0,,,0,1999.989990234375,1,1900,5,,,0,2539.510009765625,,,0,,,0,3000,1,2900,6,,,0
BGC,,,380,10,497,50,60,420,1120,475,99,550,99,100,380,300,324.989990234375,,,0,,,0,380,150,475,1140,220,385,710,324.989990234375,,,0,,,0,688.8599853515625,30,686.8599853515625,330,74,350,74
BGO,,,2415.739990234375,27,1750,76,3,1000,103,1250,,,0,20,1250,20,766.97998046875,,,0,,,0,1900,113,2500,113,3,1000,3,766.97998046875,,,0,,,0,1500,,,0,,,0
BGS,,,88306.3984375,,,0,1,60000,1,63000,,,0,,,0,88306.3984375,,,0,,,0,60000,,,0,1,60000,1,88306.3984375,,,0,,,0,88306.3984375,,,0,1,60000,1
BHP,,,3000,129,3000,140,20,2060,135,2998,1,2880,31,10,2110.10009765625,70,1500,,,0,,,0,3250,35,3240,1239,10,2900,135,1600,,,0,,,0,4091.179931640625,25,3500,218,20,2301,119
BID,,,25000,,,0,,,0,24566.470703125,,,0,,,0,24566.470703125,,,0,,,0,40000,,,0,18,40000,18,24566.470703125,,,0,,,0,24566.470703125,,,0,,,0
BL,,,3000,8,8000,8,6,3000,6,1750,,,0,6,2800,16,3004.719970703125,,,0,,,0,6500,,,0,12,5000,72,3004.719970703125,,,0,,,0,5000,,,0,20,5000,40
BLE,,,1500,9,1989,30,,,0,1440,27,1700,43,2,900.010009765625,14,1821.280029296875,,,0,,,0,1875,5,1950,5,3,1200,7,1821.280029296875,,,0,,,0,700,2,1100,8,20,500,20
BMF,,,21000,,,0,1,16500,2,25000,,,0,4,10000,4,11077.5703125,,,0,,,0,27974.66015625,2,29000,2,1,22000,5,11077.5703125,,,0,,,0,15000,,,0,,,0
BND,,,274.30999755859375,,,0,,,0,274.30999755859375,,,0,,,0,274.30999755859375,,,0,,,0,400,,,0,,,0,274.30999755859375,,,0,,,0,274.30999755859375,40,600,200,,,0
BOR,,,350,20,349,226,50,185,162,370,199,350,491,10,281,500,117.55000305175781,,,0,,,0,495,241,500,518,40,360,660,75,729,10000,1185,50,130,250,263.6499938964844,12,344,12,100,100,100
BOS,,,5000,3,6000,3,99,5000,119,5362.5,4,4500,12,,,0,1914.6800537109375,,,0,,,0,3750,4,4900,43,,,0,1914.6800537109375,,,0,,,0,1914.6800537109375,,,0,,,0
BPT,,,2656.85009765625,,,0,,,0,2656.85009765625,,,0,,,0,2656.85009765625,,,0,,,0,3000,,,0,3,3000,3,2656.85009765625,,,0,,,0,3000,,,0,3,3000,3
BR1,,,500000,,,0,,,0,470000,,,0,,,0,255340.484375,,,0,,,0,625000,1,650000,1,1,375000,1,255340.484375,,,0,,,0,450000,,,0,,,0
BR2,,,343143.09375,,,0,,,0,343143.09375,,,0,,,0,343143.09375,,,0,,,0,343143.09375,1,857857.75,3,,,0,343143.09375,,,0,,,0,343143.09375,,,0,,,0
BRM,,,90,63,150,875,,,0,90,16,180,16,99,90,699,51.43000030517578,200,110,546,,,0,190.32000732421875,120,160,436,140,100,871,40,240,100,417,400,40,400,90,200,100,1236,400,55,600
BRO,,,1150,34,950,88,,,0,1106.3299560546875,,,0,20,1200,20,836.489990234375,,,0,,,0,1899.989990234375,3,1899.989990234375,198,,,0,836.489990234375,,,0,,,0,1800,5,1800,67,,,0
BRP,,,3225.530029296875,,,0,,,0,3225.530029296875,,,0,,,0,3225.530029296875,,,0,,,0,3225.530029296875,,,0,,,0,3225.530029296875,,,0,,,0,3225.530029296875,,,0,,,0
BRS,,,220000,,,0,1,200000,1,190000,,,0,,,0,127983.546875,,,0,,,0,167000,,,0,1,200000,1,127983.546875,,,0,,,0,193000,,,0,,,0
BSC,,,28500,,,0,,,0,14624.330078125,,,0,,,0,14624.330078125,,,0,,,0,15001,,,0,,,0,14624.330078125,,,0,,,0,14624.330078125,,,0,,,0
BSE,475,1550,1425,72,1425,2693,5,1340,5868,1475,4,1475,169,306,1400,706,1500,,,0,2,1200,32,1480,100,1479,9103,20,1373.0999755859375,2251,1550,185,1550,185,7,1000,7,1500,14,1500,3021,7,1300.010009765625,1031
BTA,500,1600,1200,43,1200,303,4,1050.010009765625,473,1113.97998046875,32,1113.97998046875,575,2,1025,232,500,,,0,,,0,999.989990234375,10,999.97998046875,701,42,882.02001953125,456,890,20,890,221,,,0,860.010009765625,20,1000,434,4,853.010009765625,135
BTS,,,430,,,0,97,430,227,475,804,475,2738,100,310,100,100.3499984741211,,,0,,,0,499,1130,450,4448,10,350,10,100.3499984741211,,,0,,,0,400,100,1500,100,50,400,50
BWH,,,5000,,,0,,,0,3769.89990234375,,,0,,,0,3769.89990234375,,,0,,,0,5000,8,4950,9,,,0,3769.89990234375,,,0,,,0,3769.89990234375,,,0,,,0
BWS,,,21000,,,0,10,10000,10,26900,4,26900,8,5,10000,5,8697.1298828125,,,0,,,0,26000,1,33000,1,20,21000,40,8697.1298828125,,,0,,,0,20000,,,0,4,20000,4
C,225,,460,20,450,5138,200,425,5859,389.9800109863281,28,389.9800109863281,17677,10,349,6909,350,36,350,36,,,0,375,36,399.989990234375,5326,20,375,3743,300,112,500,112,100,300,100,347,48,343,4179,500,325,4844
CA,,,1000,,,0,100,50,100,300,15,397.9599914550781,164,4,300,159,1008.4000244140625,,,0,,,0,200,10,400,48,3,125,113,1008.4000244140625,,,0,,,0,407.6099853515625,1,585,22,10,50,10
CAF,,,655,129,655,453,30,600,180,649,63,649.989990234375,777,2,550,282,780,,,0,,,0,699.9500122070312,56,699.9500122070312,2183,300,560.010009765625,615,782.97998046875,,,0,4,800,4,700,11,999.989990234375,5399,1,700,797
