Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,16000,,,0,2,15000,9,11000,,,0,20,4500.009765625,20,6839.64013671875,,,0,,,0,19000,1,19000,11,20,7500,50,6839.64013671875,,,0,,,0,18000,,,0,,,0
ABH,,,80000,253,80000,253,6,50000.01171875,22,55000,5,60000,5,10,52000,55,24309.869140625,,,0,,,0,40000.01171875,18,48000,134,4,40000.01171875,8,24309.869140625,,,0,,,0,55000,2,59000,17,,,0
ACS,,,250000,4,250000,4,,,0,75144.5390625,,,0,,,0,75144.5390625,,,0,,,0,300000,,,0,,,0,75144.5390625,,,0,,,0,75144.5390625,,,0,,,0
ADE,,,54839,6,54828,237,6,45000.01171875,22,38000,2,54824.44140625,25,2,38000,2,21448.439453125,,,0,,,0,40000.01171875,6,49000,109,2,40000.01171875,6,21448.439453125,,,0,,,0,66666,10,65000,17,2,25000,2
ADR,48000,,48001,4,50000,6,20,48001,120,48000,1,48999.98828125,11,100,48000,100,29454.05078125,,,0,,,0,48000,,,0,100,48000,100,29454.05078125,,,0,,,0,50000,,,0,100,48000,100
ADS,,,110000,,,0,,,0,200000,1,200000,1,,,0,55441.69921875,,,0,,,0,150000,,,0,,,0,55441.69921875,,,0,,,0,102500,,,0,,,0
AEF,,,3100,149,5000,149,32,2800,372,2110.7099609375,15,3280,38,47,2110.7099609375,119,1800,,,0,,,0,3324.860107421875,4,3390,1066,16,2820,53,2124.820068359375,30,2600,30,,,0,2500,52,2500,248,20,2400,37
AEN,,,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,1,750000,1,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0
AFP,,,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0
AFR,,,7837.64013671875,,,0,,,0,5000,,,0,,,0,7837.64013671875,,,0,,,0,20000,11,20000,11,,,0,7837.64013671875,,,0,,,0,7837.64013671875,5,19594,5,,,0
AGS,,,221720.1875,,,0,1,250000,1,221720.1875,,,0,1,250000,1,221720.1875,,,0,,,0,250000,2,300000,2,,,0,221720.1875,,,0,,,0,221720.1875,,,0,,,0
AHP,,,5000,6,5000,6,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0,5566.330078125,2,8000,132,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0
AIR,185000,,91614.84375,,,0,100,185000,100,91614.84375,,,0,100,185000,100,91614.84375,,,0,,,0,185000.015625,,,0,100,185000,100,91614.84375,,,0,,,0,185000,,,0,100,185000,100
AL,,,527.9500122070312,185,525,3308,366,470,6603,642,620,641,1292,70,526,668,275,103,500,103,231,27.5,231,526,157,574,8609,132,529,3553,399,45,399,313,,,0,545.1599731445312,18,510,2893,82,401.20001220703125,598
ALE,,,1829.77001953125,172,1945,988,16,1100,1986,1450,7,1700,52,45,1450,173,750,,,0,,,0,1700,8,1700,268,3,1021,1001,1250,100,900,226,,,0,1201.010009765625,105,1500,105,50,1202,1672
ALG,80,,120,24,135,24,63,120,967,140,127,140,127,500,110,1160,85,,,0,1000,90,1000,178.16000366210938,57,175,1075,10,130,1869,133.72999572753906,,,0,,,0,180,,,0,28,103,1318
